"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-01","2024","01","01","","-1.4","","-3.7","","-2.6","","20.6","","0.0","","0.0","","0.4","","0.2","","2","","32","","31",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-02","2024","01","02","","0.6","","-2.5","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","","","25","","40",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-03","2024","01","03","","2.4","","-0.4","","1.0","","17.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","26","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-04","2024","01","04","","0.8","","-6.2","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","","","33","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-05","2024","01","05","","-0.7","","-2.9","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","","","24","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-06","2024","01","06","","1.6","","-4.1","","-1.3","","19.3","","0.0","","0.0","","3.8","","3.8","","2","E","12","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-07","2024","01","07","","0.1","","-5.4","","-2.7","","20.7","","0.0","","0.0","","0.4","","0.4","","4","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-08","2024","01","08","","2.8","","-0.3","","1.3","","16.7","","0.0","","0.0","","0.0","T","0.0","T","3","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-09","2024","01","09","","6.5","","0.2","","3.4","","14.6","","0.0","","25.2","","5.6","","30.8","","3","E","21","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-10","2024","01","10","","6.1","","-0.1","","3.0","","15.0","","0.0","","0.0","","0.0","T","0.0","T","","","28","","69",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-11","2024","01","11","","2.4","","-0.4","","1.0","","17.0","","0.0","","0.2","","2.4","","2.6","","1","E","28","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-12","2024","01","12","","4.2","","-0.6","","1.8","","16.2","","0.0","","9.9","","5.2","","15.1","","5","E","10","","66",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-13","2024","01","13","","5.3","","-4.1","","0.6","","17.4","","0.0","","4.5","","0.8","","5.3","","3","","27","","74",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-14","2024","01","14","","-3.7","","-12.2","","-8.0","","26.0","","0.0","","0.0","","0.8","","0.8","","5","","25","","69",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-15","2024","01","15","","-8.4","","-13.6","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","5","","25","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-16","2024","01","16","","-7.2","","-12.2","","-9.7","","27.7","","0.0","","0.0","","2.0","","2.0","","3","","25","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-17","2024","01","17","","-8.4","","-15.5","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","3","","25","","57",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-18","2024","01","18","","-3.6","","-8.7","","-6.2","","24.2","","0.0","","0.0","","0.6","","0.6","","3","","24","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-19","2024","01","19","","-6.7","","-15.2","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","3","","34","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-20","2024","01","20","","-7.7","","-15.4","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","2","","29","","51",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-21","2024","01","21","","-2.1","","-11.4","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","2","","25","","36",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-22","2024","01","22","","-1.0","","-7.8","","-4.4","","22.4","","0.0","","0.0","","0.6","","0.6","","2","","22","","40",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-23","2024","01","23","","1.6","","-1.2","","0.2","","17.8","","0.0","","2.4","","4.8","","7.2","","2","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-24","2024","01","24","","1.6","","0.5","","1.1","","16.9","","0.0","","8.2","","0.0","","8.2","","3","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-25","2024","01","25","","3.5","","1.1","","2.3","","15.7","","0.0","","0.2","","0.0","","0.2","","1","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-26","2024","01","26","","4.0","","1.4","","2.7","","15.3","","0.0","","21.8","","0.0","","21.8","","","","35","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2024-01-27","2024","01","27","","3.5","","0.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
